NOMBRE LOCALIDAD
ACATIC
AGUA PRIETA
LAS AMARILLAS
BAJIO DE HERRERAS
CALABAZAS
CALDERON
CAÑADA HONDA
EL CAPADERO
EL CARRICILLO
LA CEJA DE RAMBLAS
LA COFRADIA
EL COLOMO
LAS CORONILLAS
CORRAL FALSO
CRUCERO VIEJO
LA CHARANGA
EL CHARCO DEL AHOGADO
CHIQUIHUITILLO
EL CHIVATERO
LA ESTANCIA
LA GALLARDA
LA GAZAPERA
GODORNICES
LAS HUERTAS
LA INFAMIA (LA COPETONA)
JAGÜEY
EL JARAL
LAGUNA COLORADA
LA LEONERA
LA LEONERITA
LA LOMA
LOS LLANITOS
MIRAFLORES
MONTE LARGO
LAS MOTAS
LA NOPALERA
EL OCOTILLO
OJO DE AGUA DE CALDERON
OJO DE AGUA DE COLOMO
PALO SOLO
EL PARAISO
LAS PAREDES
PIEDRA AMARILLA
LAS PILAS
LA PROVIDENCIA
LA QUINTA
EL RANCHITO
LOS RANCHITOS
RANCHO ESCONDIDO
RANCHO NUEVO
RANCHO NUEVO DE CALDERON
EL RANERO
EL REFUGIO
LA RESOLANA
EL RINCON
EL SALTILLO DE ABAJO
EL SALTILLO DE ARRIBA
SALTO DE ACATIC
SAN ANTONIO
SAN ANTONIO DE ROA
SAN BARTOLO
SAN FRANCISCO
SAN JOSE
SAN JOSE DEL SALTO
SANTA RITA
EL SAUZ
LA SOLEDAD
LA SOSA
EL TEMPISQUE
EL TEPAME
EL TEPEHUAJE
EL TEPOZAN
TEQUILILLA
EL TERRERO
TIERRAS COLORADAS
EL TLALCOYOTE
LOS TROJES
EL VENADO
OJO DE AGUA DE VERDUM (VERDUM)
LAS VIBORAS
EL ZAPOTE
LAS TEPOZAS
POZO DEL LLANO
LAS TABLAS
LA COPETONA
LA ESPERANZA
HACIENDA VIEJA DE CALDERON
LAS CASAS
LA MAJADA
EL PITAYO
EL ROBLE
VERDE VALLE
LA ESCOPETA
RANCHO ALEGRE
HACIENDA LA CALESA
RANCHO EL LUCERO
CAMPO EXPERIMENTAL SANTO DOMINGO
RANCHO LOS III PINOS
CLUB CAMPESTRE LOS ALACATES
LA CANDELARIA
PASEOS DEL ENCINO
ACATLAN DE JUAREZ
BELLAVISTA
LA CORONILLA
CORRALES DE JALISCO
